#Item	Label	Description	Site on enwiki
Q934808	Heighington railway station		Heighington railway station
Q1868098	Dinsdale railway station		Dinsdale railway station
Q2054892	Teesside Airport railway station		Teesside Airport railway station
Q2068534	Seaton Carew railway station		Seaton Carew railway station
Q2102917	Middlesbrough railway station		Middlesbrough railway station
Q2184547	Allens West railway station		Allens West railway station
Q2203193	Shildon railway station		Shildon railway station
Q2239157	Eaglescliffe railway station		Eaglescliffe railway station
Q2286393	Darlington railway station		Darlington railway station
Q2347286	Bishop Auckland railway station		Bishop Auckland railway station
Q2407800	Durham railway station		Durham railway station
Q2432748	North Road railway station		North Road railway station
Q2609531	Newton Aycliffe railway station		Newton Aycliffe railway station
Q2749128	Stockton railway station		Stockton railway station
Q2795880	Thornaby railway station		Thornaby railway station
Q3488349	Billingham railway station		Billingham railway station
Q4046880	Hartlepool railway station		Hartlepool railway station
Q4713810	Aldin Grange for Bearpark railway station		Aldin Grange for Bearpark railway station
Q4831047	Aycliffe railway station		Aycliffe railway station
Q7306089	Redmarshall railway station		Redmarshall railway station
Q7566823	South Church railway station		South Church railway station
Q7901913	Ushaw Moor railway station		Ushaw Moor railway station
Q7974148	Waterhouses (County Durham) railway station		Waterhouses (County Durham) railway station
Q7984341	West Auckland railway station		West Auckland railway station
Q15206234	Byers Green railway station		Byers Green railway station
Q15212050	Crook railway station		Crook railway station
Q15217618	Ferryhill railway station		Ferryhill railway station
